"","doi","journal","journal_meta.issn.1","publisher","author1","affiliation","title","abstract","topic","Year"
"11","10.1371/journal.pone.0219961","PLOS ONE",NA,"Public Library of Science","Sheahan, Taylor","Alberta RNA Research and Training Institute, Department of Chemistry and Biochemistry, University of Lethbridge, Lethbridge, Alberta, Canada","Rapid metagenomics analysis of EMS vehicles for monitoring pathogen load using nanopore DNA sequencing","Pathogen monitoring, detection and removal are essential to public health and outbreak management. Systems are in place for monitoring the microbial load of hospitals and public health facilities with strategies to mitigate pathogen spread. However, no such strategies are in place for ambulances, which are tasked with transporting at-risk individuals in immunocompromised states. As standard culturing techniques require a laboratory setting, and are time consuming and labour intensive, our approach was designed to be portable, inexpensive and easy to use based on the MinION third-generation sequencing platform from Oxford Nanopore Technologies. We developed a transferable sampling-to-analysis pipeline to characterize the microbial community in emergency medical service vehicles. Our approach identified over sixty-eight organisms in ambulances to the genera level, with a proportion of these being connected with health-care associated infections, such as Clostridium spp. and Staphylococcus spp. We also monitored the microbiome of different locations across three ambulances over time, and examined the dynamic community of microorganisms found in emergency medical service vehicles. Observed differences identified hot spots, which may require heightened monitoring and extensive cleaning. Through metagenomics analysis it is also possible to identify how microorganisms spread between patients and colonize an ambulance over time. The sequencing results aid in the development of practices to mitigate disease spread, while also providing a useful tool for outbreak prediction through ongoing analysis of the ambulance microbiome to identify new and emerging pathogens. Overall, this pipeline allows for the tracking and monitoring of pathogenic microorganisms of epidemiological interest, including those related to health-care associated infections.","ont reads sequencing",2019
"12","10.1371/journal.pone.0053757","PLoS ONE",NA,"Public Library of Science","Lynch, Tarah","National Microbiology Laboratory, Public Health Agency of Canada, Winnipeg, Manitoba, Canada","Characterization of a Stable, Metronidazole-Resistant Clostridium difficile Clinical Isolate","BackgroundClostridium difficile are Gram-positive, spore forming anaerobic bacteria that are the leading cause of healthcare-associated diarrhea, usually associated with antibiotic usage. Metronidazole is currently the first-line treatment for mild to moderate C. difficile diarrhea however recurrence occurs at rates of 15–35%. There are few reports of C. difficile metronidazole resistance in the literature, and when observed, the phenotype has been transient and lost after storage or exposure of the bacteria to freeze/thaw cycles. Owing to the unstable nature of the resistance phenotype in the laboratory, clinical significance and understanding of the resistance mechanisms is lacking.Methodology/Principal FindingsGenotypic and phenotypic characterization was performed on a metronidazole resistant clinical isolate of C. difficile. Whole-genome sequencing was used to identify potential genetic contributions to the phenotypic variation observed with molecular and bacteriological techniques. Phenotypic observations of the metronidazole resistant strain revealed aberrant growth in broth and elongated cell morphology relative to a metronidazole-susceptible, wild type NAP1 strain. Comparative genomic analysis revealed single nucleotide polymorphism (SNP) level variation within genes affecting core metabolic pathways such as electron transport, iron utilization and energy production.Conclusions/SignificanceThis is the first characterization of stable, metronidazole resistance in a C. difficile isolate. The study provides an in-depth genomic and phenotypic analysis of this strain and provides a foundation for future studies to elucidate mechanisms conferring metronidazole resistance in C. difficile that have not been previously described.","ont reads sequencing",2012
"13","10.1371/journal.pone.0215441","PLOS ONE",NA,"Public Library of Science","Stevens, Richard C.","Genetics Research LLC, Wakefield, Massachusetts, United States of America","A novel CRISPR/Cas9 associated technology for sequence-specific nucleic acid enrichment","Massively parallel sequencing technologies have made it possible to generate large quantities of sequence data. However, as research-associated information is transferred into clinical practice, cost and throughput constraints generally require sequence-specific targeted analyses. Therefore, sample enrichment methods have been developed to meet the needs of clinical sequencing applications. However, current amplification and hybrid capture enrichment methods are limited in the contiguous length of sequences for which they are able to enrich. PCR based amplification also loses methylation data and other native DNA features. We have developed a novel technology (Negative Enrichment) where we demonstrate targeting long (>10 kb) genomic regions of interest. We use the specificity of CRISPR-Cas9 single guide RNA (Cas9/sgRNA) complexes to define 5′ and 3′ termini of sequence-specific loci in genomic DNA, targeting 10 to 36 kb regions. The complexes were found to provide protection from exonucleases, by protecting the targeted sequences from degradation, resulting in enriched, double-strand, non-amplified target sequences suitable for next-generation sequencing library preparation or other downstream analyses.","ont reads sequencing",2019
"14","10.1371/journal.ppat.1006365","PLOS Pathogens","1553-7374","Public Library of Science","Jaworski, Elizabeth","Department of Biochemistry and Molecular Biology, The University of Texas Medical Branch, Galveston, TX, United States of America","Parallel ClickSeq and Nanopore sequencing elucidates the rapid evolution of defective-interfering RNAs in Flock House virus","Defective-Interfering RNAs (DI-RNAs) have long been known to play an important role in virus replication and transmission. DI-RNAs emerge during virus passaging in both cell-culture and their hosts as a result of non-homologous RNA recombination. However, the principles of DI-RNA emergence and their subsequent evolution have remained elusive. Using a combination of long- and short-read Next-Generation Sequencing, we have characterized the formation of DI-RNAs during serial passaging of Flock House virus (FHV) in cell-culture over a period of 30 days in order to elucidate the pathways and potential mechanisms of DI-RNA emergence and evolution. For short-read RNAseq, we employed ‘ClickSeq’ due to its ability to sensitively and confidently detect RNA recombination events with nucleotide resolution. In parallel, we used the Oxford Nanopore Technologies’s (ONT) MinION to resolve full-length defective and wild-type viral genomes. Together, these accurately resolve both rare and common RNA recombination events, determine the correlation between recombination events, and quantifies the relative abundance of different DI-RNAs throughout passaging. We observe the formation of a diverse pool of defective RNAs at each stage of viral passaging. However, many of these ‘intermediate’ species, while present in early stages of passaging, do not accumulate. After approximately 9 days of passaging we observe the rapid accumulation of DI-RNAs with a correlated reduction in specific infectivity and with the Nanopore data find that DI-RNAs are characterized by multiple RNA recombination events. This suggests that intermediate DI-RNA species are not competitive and that multiple recombination events interact epistatically to confer ‘mature’ DI-RNAs with their selective advantage allowing for their rapid accumulation. Alternatively, it is possible that mature DI-RNA species are generated in a single event involving multiple RNA rearrangements. These insights have important consequences for our understanding of the mechanisms, determinants and limitations in the emergence and evolution of DI-RNAs.","ont reads sequencing",2017
"15","10.1371/journal.ppat.1006365","PLOS Pathogens","1553-7374","Public Library of Science","Jaworski, Elizabeth","Department of Biochemistry and Molecular Biology, The University of Texas Medical Branch, Galveston, TX, United States of America","Parallel ClickSeq and Nanopore sequencing elucidates the rapid evolution of defective-interfering RNAs in Flock House virus","Author summaryDefective RNAs are versions of a viral genome that arise naturally during viral infections but have been truncated or rearranged by non-homologous recombination. While not encoding for functional viruses, they can be amplified and co-passaged with the wild-type virus, effectively parasitizing the normal viral machinery. Some defective RNAs can replicate so successfully so as to subdue the replication of the wild-type virus, forming a ‘Defective-Interfering RNA’ (DI-RNA). As a result, DI-RNAs may promote the establishment of chronic viral infections, may prolong the period during which the host is infectious, and may even be exploited as antiviral therapies or vaccines. Therefore, understanding the reasons and mechanisms of how DI-RNAs are formed and subsequently evolve is important. Here, we sought to characterize these processes by passaging Flock House virus (a highly tractable and well-characterized model RNA virus) in cell-culture for approximately one month and sequencing the viral genomes every three days using a combination of ‘ClickSeq’ (to resolve recombination events with nucleotide resolution) and the Oxford Nanopore Technologies MinION (to characterize full-length and defective genomes). This provides a highly detailed characterization of the pathways of DI-RNA emergence and their progression to dominance over the wild-type viral genome.","ont reads sequencing",2017
"16","10.1371/journal.pone.0090684","PLoS ONE",NA,"Public Library of Science","Porubanova, Michaela","Department of Psychology, Farmingdale State College, Farmingdale, New York, United States of America","Memory for Expectation-Violating Concepts: The Effects of Agents and Cultural Familiarity","Previous research has shown that ideas which violate our expectations, such as schema-inconsistent concepts, enjoy privileged status in terms of memorability. In our study, memory for concepts that violate cultural (cultural schema-level) expectations (e.g., “illiterate teacher”, “wooden bottle”, or “thorny grass”) versus domain-level (ontological) expectations (e.g., “speaking cat”, “jumping maple”, or “melting teacher”) was examined. Concepts that violate cultural expectations, or counter-schematic, were remembered to a greater extent compared with concepts that violate ontological expectations and with intuitive concepts (e.g., “galloping pony”, “drying orchid”, or “convertible car”), in both immediate recall, and delayed recognition tests. Importantly, concepts related to agents showed a memory advantage over concepts not pertaining to agents, but this was true only for expectation-violating concepts. Our results imply that intuitive, everyday concepts are equally attractive and memorable regardless of the presence or absence of agents. However, concepts that violate our expectations (cultural-schema or domain-level) are more memorable when pertaining to agents (humans and animals) than to non-agents (plants or objects/artifacts). We conclude that due to their evolutionary salience, cultural ideas which combine expectancy violations and the involvement of an agent are especially memorable and thus have an enhanced probability of being successfully propagated.","ont reads sequencing",2014
"17","10.1371/journal.pone.0194366","PLOS ONE",NA,"Public Library of Science","Sauvage, Virginie","Institut National de la Transfusion Sanguine (INTS), Département D’études des Agents Transmissibles par le Sang, Centre National de Référence Risques Infectieux Transfusionnels, Paris, France","Early MinION™ nanopore single-molecule sequencing technology enables the characterization of hepatitis B virus genetic complexity in clinical samples","Until recently, the method of choice to characterize viral diversity consisted in cloning PCR amplicons of full-length viral genomes and Sanger-sequencing of multiple clones. However, this is extremely laborious, time-consuming, and low-throughput. Next generation short-read sequencing appears also limited by its inability to directly sequence full-length viral genomes. The MinION™ device recently developed by Oxford Nanopore Technologies can be a promising alternative by applying long-read single-molecule sequencing directly to the overall amplified products generated in a PCR reaction. This new technology was evaluated by using hepatitis B virus (HBV) as a model. Several previously characterized HBV-infected clinical samples were investigated including recombinant virus, variants that harbored deletions and mixed population. Original MinION device was able to generate individual complete 3,200-nt HBV genome sequences and to identify recombinant variants. MinION was particularly efficient in detecting HBV genomes with multiple large in-frame deletions and spliced variants concomitantly with non-deleted parental genomes. However, an average-12% sequencing error rate per individual reads associated to a low throughput challenged single-nucleotide resolution, polymorphism calling and phasing mutations directly from the sequencing reads. Despite this high error rate, the pairwise identity of MinION HBV consensus genome was consistent with Sanger sequencing method. MinION being under continuous development, further studies are needed to evaluate its potential use for viral infection characterization.","ont reads sequencing",2018
"18","10.1371/journal.pone.0013381","PLoS ONE",NA,"Public Library of Science","Greninger, Alexander L.","Department of Biochemistry and Biophysics, University of California San Francisco, San Francisco, California, United States of America","A Metagenomic Analysis of Pandemic Influenza A (2009 H1N1) Infection in Patients from North America","Although metagenomics has been previously employed for pathogen discovery, its cost and complexity have prevented its use as a practical front-line diagnostic for unknown infectious diseases. Here we demonstrate the utility of two metagenomics-based strategies, a pan-viral microarray (Virochip) and deep sequencing, for the identification and characterization of 2009 pandemic H1N1 influenza A virus. Using nasopharyngeal swabs collected during the earliest stages of the pandemic in Mexico, Canada, and the United States (n = 17), the Virochip was able to detect a novel virus most closely related to swine influenza viruses without a priori information. Deep sequencing yielded reads corresponding to 2009 H1N1 influenza in each sample (percentage of aligned sequences corresponding to 2009 H1N1 ranging from 0.0011% to 10.9%), with up to 97% coverage of the influenza genome in one sample. Detection of 2009 H1N1 by deep sequencing was possible even at titers near the limits of detection for specific RT-PCR, and the percentage of sequence reads was linearly correlated with virus titer. Deep sequencing also provided insights into the upper respiratory microbiota and host gene expression in response to 2009 H1N1 infection. An unbiased analysis combining sequence data from all 17 outbreak samples revealed that 90% of the 2009 H1N1 genome could be assembled de novo without the use of any reference sequence, including assembly of several near full-length genomic segments. These results indicate that a streamlined metagenomics detection strategy can potentially replace the multiple conventional diagnostic tests required to investigate an outbreak of a novel pathogen, and provide a blueprint for comprehensive diagnosis of unexplained acute illnesses or outbreaks in clinical and public health settings.","ont reads sequencing",2010
"19","10.1371/journal.pone.0012754","PLoS ONE",NA,"Public Library of Science","Dawes, Fay E.","School of Biological Sciences, University of Wollongong, Wollongong, New South Wales, Australia","Distribution of Class 1 Integrons with IS26-Mediated Deletions in Their 3′-Conserved Segments in Escherichia coli of Human and Animal Origin","Class 1 integrons play a role in the emergence of multi-resistant bacteria by facilitating the recruitment of gene cassettes encoding antibiotic resistance genes. 512 E. coli strains sourced from humans (n = 202), animals (n = 304) and the environment (n = 6) were screened for the presence of the intI1 gene. In 31/79 integron positive E. coli strains, the gene cassette regions could not be PCR amplified using standard primers. DNA sequence analysis of 6 serologically diverse strains revealed atypical integrons harboured the dfrA5 cassette gene and only 24 bp of the integron 3′-conserved segment (CS) remained, due to the insertion of IS26. PCR targeting intI1 and IS26 followed by restriction fragment length polymorphism (RFLP) analysis identified the integron-dfrA5-IS26 element in 27 E. coli strains of bovine origin and 4 strains of human origin. Southern hybridization and transformation studies revealed the integron-dfrA5-IS26 gene arrangement was either chromosomally located or plasmid borne. Plasmid location in 4/9 E. coli strains and PCR linkage of Tn21 transposition genes with the intI1 gene in 20/31 strains, suggests this element is readily disseminated by horizontal transfer.","ont reads sequencing",2010
"20","10.1371/journal.pone.0217600","PLOS ONE",NA,"Public Library of Science","Kamathewatta, Kanishka Indiwari","Department of Veterinary Biosciences, Faculty of Veterinary and Agricultural Sciences, The University of Melbourne, Werribee, Victoria, Australia","Exploration of antibiotic resistance risks in a veterinary teaching hospital with Oxford Nanopore long read sequencing","The Oxford Nanopore MinION DNA sequencing device can produce large amounts of long sequences, typically several kilobases, within a few hours. This long read capacity was exploited to detect antimicrobial resistance genes (ARGs) in a large veterinary teaching hospital environment, and to assess their taxonomic origin, genetic organisation and association with mobilisation markers concurrently. Samples were collected on eight occasions between November 2016 and May 2017 (inclusive) in a longitudinal study. Nanopore sequencing was performed on total DNA extracted from the samples after a minimal enrichment step in broth. Many ARGs present in the veterinary hospital environment could potentially confer resistance to antimicrobials widely used in treating infections of companion animals, including aminoglycosides, extended-spectrum beta-lactams, sulphonamides, macrolides, and tetracyclines. High-risk ARGs, defined here as single or multiple ARGs associated with pathogenic bacterial species or with mobile genetic elements, were shared between the intensive care unit (ICU) patient cages, a dedicated laundry trolley and a floor cleaning mop-bucket. By contrast, a floor surface from an office corridor without animal contact and located outside the veterinary hospital did not contain such high-risk ARGs. Relative abundances of high-risk ARGs and co-localisation of these genes on the same sequence read were higher in the laundry trolley and mop bucket samples, compared to the ICU cages, suggesting that amplification of ARGs is likely to occur in the collection points for hospital waste. These findings have prompted the implementation of targeted intervention measures in the veterinary hospital to mitigate the risks of transferring clinically important ARGs between sites and to improve biosecurity practices in the facility.","ont reads sequencing",2019
