"","doi","journal","publisher","author1","affiliation","title","abstract","topic","Year"
"11","10.1371/journal.pbio.3000251","PLOS Biology","Public Library of Science","Byagathvalli, Gaurav","Lambert High School, Suwanee, Georgia, United States of America","A 3D-printed hand-powered centrifuge for molecular biology","The centrifuge is an essential tool for many aspects of research and medical diagnostics. However, conventional centrifuges are often inaccessible outside of standard laboratory settings, such as remote field sites, because they require a constant external power source and can be prohibitively costly in resource-limited settings and Science, technology, engineering, and mathematics (STEM)-focused programs. Here we present the 3D-Fuge, a 3D-printed hand-powered centrifuge, as a novel alternative to standard benchtop centrifuges. Based on the design principles of a paper-based centrifuge, this 3D-printed instrument increases the volume capacity to 2 mL and can reach hand-powered centrifugation speeds up to 6,000 rpm. The 3D-Fuge devices presented here are capable of centrifugation of a wide variety of different solutions such as spinning down samples for biomarker applications and performing nucleotide extractions as part of a portable molecular lab setup. We introduce the design and proof-of-principle trials that demonstrate the utility of low-cost 3D-printed centrifuges for use in remote field biology and educational settings.","oxford nanopore sequencing",NA
"12","10.1371/journal.pbio.3000251","PLOS Biology","Public Library of Science","Byagathvalli, Gaurav","Lambert High School, Suwanee, Georgia, United States of America","A 3D-printed hand-powered centrifuge for molecular biology","This Community Page article describes a low-cost 3D-printed centrifuge to enable sequencing in remote field conditions and lowering the barrier to synthetic biology research in high schools to broaden participation in hands-on STEM.","oxford nanopore sequencing",NA
"13","10.1371/journal.pntd.0006075","PLOS Neglected Tropical Diseases","Public Library of Science","Brinkmann, Annika","Highly Pathogenic Viruses, ZBS 1, Centre for Biological Threats and Special Pathogens, Robert Koch Institute, Berlin, Germany","Development and preliminary evaluation of a multiplexed amplification and next generation sequencing method for viral hemorrhagic fever diagnostics","BackgroundWe describe the development and evaluation of a novel method for targeted amplification and Next Generation Sequencing (NGS)-based identification of viral hemorrhagic fever (VHF) agents and assess the feasibility of this approach in diagnostics.MethodologyAn ultrahigh-multiplex panel was designed with primers to amplify all known variants of VHF-associated viruses and relevant controls. The performance of the panel was evaluated via serially quantified nucleic acids from Yellow fever virus, Rift Valley fever virus, Crimean-Congo hemorrhagic fever (CCHF) virus, Ebola virus, Junin virus and Chikungunya virus in a semiconductor-based sequencing platform. A comparison of direct NGS and targeted amplification-NGS was performed. The panel was further tested via a real-time nanopore sequencing-based platform, using clinical specimens from CCHF patients.Principal findingsThe multiplex primer panel comprises two pools of 285 and 256 primer pairs for the identification of 46 virus species causing hemorrhagic fevers, encompassing 6,130 genetic variants of the strains involved. In silico validation revealed that the panel detected over 97% of all known genetic variants of the targeted virus species. High levels of specificity and sensitivity were observed for the tested virus strains. Targeted amplification ensured viral read detection in specimens with the lowest virus concentration (1–10 genome equivalents) and enabled significant increases in specific reads over background for all viruses investigated. In clinical specimens, the panel enabled detection of the causative agent and its characterization within 10 minutes of sequencing, with sample-to-result time of less than 3.5 hours.ConclusionsVirus enrichment via targeted amplification followed by NGS is an applicable strategy for the diagnosis of VHFs which can be adapted for high-throughput or nanopore sequencing platforms and employed for surveillance or outbreak monitoring.","oxford nanopore sequencing",2017
"14","10.1371/journal.pntd.0006075","PLOS Neglected Tropical Diseases","Public Library of Science","Brinkmann, Annika","Highly Pathogenic Viruses, ZBS 1, Centre for Biological Threats and Special Pathogens, Robert Koch Institute, Berlin, Germany","Development and preliminary evaluation of a multiplexed amplification and next generation sequencing method for viral hemorrhagic fever diagnostics","Author summaryViral hemorrhagic fever is a severe and potentially lethal disease, characterized by fever, malaise, vomiting, mucosal and gastrointestinal bleeding, and hypotension, in which multiple organ systems are affected. Due to modern transportation and global trade, outbreaks of viral hemorrhagic fevers have the potential to spread rapidly and affect a significant number of susceptible individuals. Thus, urgent and robust diagnostics with an identification of the causative virus is crucial. However, this is challenged by the number and diversity of the viruses associated with hemorrhagic fever. Several viruses classified in Arenaviridae, Filoviridae, and Flaviviridae families and Bunyavirales order may cause symptoms of febrile disease with hemorrhagic symptoms. We have developed and evaluated a novel method that can potentially identify all viruses and their genomic variants known to cause hemorrhagic fever in humans. The method relies on selected amplification of the target viral nucleic acids and subsequent high throughput sequencing technology for strain identification. Computer-based evaluations have revealed very high sensitivity and specificity, provided that the primer design is kept updated. Laboratory tests using several standard hemorrhagic virus strains and patient specimens have demonstrated excellent suitability of the assay in various sequencing platforms, which can achieve a definitive diagnosis in less than 3.5 hours.","oxford nanopore sequencing",2017
"15","10.1371/journal.pone.0194366","PLOS ONE","Public Library of Science","Sauvage, Virginie","Institut National de la Transfusion Sanguine (INTS), Département D’études des Agents Transmissibles par le Sang, Centre National de Référence Risques Infectieux Transfusionnels, Paris, France","Early MinION™ nanopore single-molecule sequencing technology enables the characterization of hepatitis B virus genetic complexity in clinical samples","Until recently, the method of choice to characterize viral diversity consisted in cloning PCR amplicons of full-length viral genomes and Sanger-sequencing of multiple clones. However, this is extremely laborious, time-consuming, and low-throughput. Next generation short-read sequencing appears also limited by its inability to directly sequence full-length viral genomes. The MinION™ device recently developed by Oxford Nanopore Technologies can be a promising alternative by applying long-read single-molecule sequencing directly to the overall amplified products generated in a PCR reaction. This new technology was evaluated by using hepatitis B virus (HBV) as a model. Several previously characterized HBV-infected clinical samples were investigated including recombinant virus, variants that harbored deletions and mixed population. Original MinION device was able to generate individual complete 3,200-nt HBV genome sequences and to identify recombinant variants. MinION was particularly efficient in detecting HBV genomes with multiple large in-frame deletions and spliced variants concomitantly with non-deleted parental genomes. However, an average-12% sequencing error rate per individual reads associated to a low throughput challenged single-nucleotide resolution, polymorphism calling and phasing mutations directly from the sequencing reads. Despite this high error rate, the pairwise identity of MinION HBV consensus genome was consistent with Sanger sequencing method. MinION being under continuous development, further studies are needed to evaluate its potential use for viral infection characterization.","oxford nanopore sequencing",2018
"16","10.1371/journal.pone.0167600","PLOS ONE","Public Library of Science","Lindberg, Michael R.","Signature Science, LLC, Austin, Texas, United States of America","A Comparison and Integration of MiSeq and MinION Platforms for Sequencing Single Source and Mixed Mitochondrial Genomes","Single source and multiple donor (mixed) samples of human mitochondrial DNA were analyzed and compared using the MinION and the MiSeq platforms. A generalized variant detection strategy was employed to provide a cursory framework for evaluating the reliability and accuracy of mitochondrial sequences produced by the MinION. The feasibility of long-read phasing was investigated to establish its efficacy in quantitatively distinguishing and deconvolving individuals in a mixture. Finally, a proof-of-concept was demonstrated by integrating both platforms in a hybrid assembly that leverages solely mixture data to accurately reconstruct full mitochondrial genomes.","oxford nanopore sequencing",2016
"17","10.1371/journal.pone.0184741","PLOS ONE","Public Library of Science","Menegon, Michele","Tropical Biodiversity section, Science Museum of Trento, Trento, Italy","On site DNA barcoding by nanopore sequencing","Biodiversity research is becoming increasingly dependent on genomics, which allows the unprecedented digitization and understanding of the planet’s biological heritage. The use of genetic markers i.e. DNA barcoding, has proved to be a powerful tool in species identification. However, full exploitation of this approach is hampered by the high sequencing costs and the absence of equipped facilities in biodiversity-rich countries. In the present work, we developed a portable sequencing laboratory based on the portable DNA sequencer from Oxford Nanopore Technologies, the MinION. Complementary laboratory equipment and reagents were selected to be used in remote and tough environmental conditions. The performance of the MinION sequencer and the portable laboratory was tested for DNA barcoding in a mimicking tropical environment, as well as in a remote rainforest of Tanzania lacking electricity. Despite the relatively high sequencing error-rate of the MinION, the development of a suitable pipeline for data analysis allowed the accurate identification of different species of vertebrates including amphibians, reptiles and mammals. In situ sequencing of a wild frog allowed us to rapidly identify the species captured, thus confirming that effective DNA barcoding in the field is possible. These results open new perspectives for real-time-on-site DNA sequencing thus potentially increasing opportunities for the understanding of biodiversity in areas lacking conventional laboratory facilities.","oxford nanopore sequencing",2017
"18","10.1371/journal.pone.0217871","PLOS ONE","Public Library of Science","Xavier, Joilson","Laboratório de Patologia Experimental, Instituto Gonçalo Moniz/Fiocruz, Salvador, Bahia, Brazil","Circulation of chikungunya virus East/Central/South African lineage in Rio de Janeiro, Brazil","The emergence of chikungunya virus (CHIKV) has raised serious concerns due to the virus’ rapid dissemination into new geographic areas and the clinical features associated with infection. To better understand CHIKV dynamics in Rio de Janeiro, we generated 11 near-complete genomes by means of real-time portable nanopore sequencing of virus isolates obtained directly from clinical samples. To better understand CHIKV dynamics in Rio de Janeiro, we generated 11 near-complete genomes by means of real-time portable nanopore sequencing of virus isolates obtained directly from clinical samples. Our phylogenetic reconstructions indicated the circulation of the East-Central-South-African (ECSA) lineage in Rio de Janeiro. Time-measured phylogenetic analysis combined with CHIKV notified case numbers revealed the ECSA lineage was introduced in Rio de Janeiro around June 2015 (95% Bayesian credible interval: May to July 2015) indicating the virus was circulating unnoticed for 5 months before the first reports of CHIKV autochthonous transmissions in Rio de Janeiro, in November 2015. These findings reinforce that continued genomic surveillance strategies are needed to assist in the monitoring and understanding of arbovirus epidemics, which might help to attenuate public health impact of infectious diseases.","oxford nanopore sequencing",2019
"19","10.1371/journal.pone.0215441","PLOS ONE","Public Library of Science","Stevens, Richard C.","Genetics Research LLC, Wakefield, Massachusetts, United States of America","A novel CRISPR/Cas9 associated technology for sequence-specific nucleic acid enrichment","Massively parallel sequencing technologies have made it possible to generate large quantities of sequence data. However, as research-associated information is transferred into clinical practice, cost and throughput constraints generally require sequence-specific targeted analyses. Therefore, sample enrichment methods have been developed to meet the needs of clinical sequencing applications. However, current amplification and hybrid capture enrichment methods are limited in the contiguous length of sequences for which they are able to enrich. PCR based amplification also loses methylation data and other native DNA features. We have developed a novel technology (Negative Enrichment) where we demonstrate targeting long (>10 kb) genomic regions of interest. We use the specificity of CRISPR-Cas9 single guide RNA (Cas9/sgRNA) complexes to define 5' and 3' termini of sequence-specific loci in genomic DNA, targeting 10 to 36 kb regions. The complexes were found to provide protection from exonucleases, by protecting the targeted sequences from degradation, resulting in enriched, double-strand, non-amplified target sequences suitable for next-generation sequencing library preparation or other downstream analyses.","oxford nanopore sequencing",2019
"20","10.1371/journal.pone.0142155","PLOS ONE","Public Library of Science","Henley, Robert Y.","Department of Physics, Northeastern University, Boston, Massachusetts, United States of America","Osmium-Based Pyrimidine Contrast Tags for Enhanced Nanopore-Based DNA Base Discrimination","Nanopores are a promising platform in next generation DNA sequencing. In this platform, an individual DNA strand is threaded into nanopore using an electric field, and enzyme-based ratcheting is used to move the strand through the detector. During this process the residual ion current through the pore is measured, which exhibits unique levels for different base combinations inside the pore. While this approach has shown great promise, accuracy is not optimal because the four bases are chemically comparable to one another, leading to small differences in current obstruction. Nucleobase-specific chemical tagging can be a viable approach to enhancing the contrast between different bases in the sequence. Herein we show that covalent modification of one or both of the pyrimidine bases by an osmium bipyridine complex leads to measureable differences in the blockade amplitudes of DNA molecules. We qualitatively determine the degree of osmylation of a DNA strand by passing it through a solid-state nanopore, and are thus able to gauge T and C base content. In addition, we show that osmium bipyridine reacts with dsDNA, leading to substantially different current blockade levels than exhibited for bare dsDNA. This work serves as a proof of principle for nanopore sequencing and mapping via base-specific DNA osmylation.","oxford nanopore sequencing",2015
"21","10.1371/journal.pone.0215912","PLOS ONE","Public Library of Science","Lombardi, Lisa","Department of Biology, University of Pisa, Pisa, Italy","Characterization of the Candida orthopsilosis agglutinin-like sequence (ALS) genes","Agglutinin like sequence (Als) cell-wall proteins play a key role in adhesion and virulence of Candida species. Compared to the well-characterized Candida albicans ALS genes, little is known about ALS genes in the Candida parapsilosis species complex. Three incomplete ALS genes were identified in the genome sequence for Candida orthopsilosis strain 90–125 (GenBank assembly ASM31587v1): CORT0C04210 (named CoALS4210), CORT0C04220 (CoALS4220) and CORT0B00800 (CoALS800). To complete the gene sequences, new data were derived from strain 90–125 using Illumina (short-read) and Oxford Nanopore (long-read) methods. Long-read sequencing analysis confirmed the presence of 3 ALS genes in C. orthopsilosis 90–125 and resolved the gaps located in repetitive regions of CoALS800 and CoALS4220. In the new genome assembly (GenBank PQBP00000000), the CoALS4210 sequence was slightly longer than in the original assembly. C. orthopsilosis Als proteins encoded features well-known in C. albicans Als proteins such as a secretory signal peptide, N-terminal domain with a peptide-binding cavity, amyloid-forming region, repeated sequences, and a C-terminal site for glycosylphosphatidylinositol anchor addition that, in yeast, suggest localization of the proteins in the cell wall. CoAls4210 and CoAls800 lacked the classic C. albicans Als tandem repeats, instead featuring short, imperfect repeats with consensus motifs such as SSSEPP and GSGN. Quantitative RT-PCR showed differential regulation of CoALS genes by growth stage in six genetically diverse C. orthopsilosis clinical isolates, which also exhibited length variation in the ALS alleles, and strain-specific gene expression patterns. Overall, long-read DNA sequencing methodology was instrumental in generating an accurate assembly of CoALS genes, thus revealing their unconventional features and first insights into their allelic variability within C. orthopsilosis clinical isolates.","oxford nanopore sequencing",2019
"22","10.1371/journal.pone.0157600","PLOS ONE","Public Library of Science","Karamitros, Timokratis","Department of Zoology, University of Oxford, Oxford, United Kingdom","De Novo Assembly of Human Herpes Virus Type 1 (HHV-1) Genome, Mining of Non-Canonical Structures and Detection of Novel Drug-Resistance Mutations Using Short- and Long-Read Next Generation Sequencing Technologies","Human herpesvirus type 1 (HHV-1) has a large double-stranded DNA genome of approximately 152 kbp that is structurally complex and GC-rich. This makes the assembly of HHV-1 whole genomes from short-read sequencing data technically challenging. To improve the assembly of HHV-1 genomes we have employed a hybrid genome assembly protocol using data from two sequencing technologies: the short-read Roche 454 and the long-read Oxford Nanopore MinION sequencers. We sequenced 18 HHV-1 cell culture-isolated clinical specimens collected from immunocompromised patients undergoing antiviral therapy. The susceptibility of the samples to several antivirals was determined by plaque reduction assay. Hybrid genome assembly resulted in a decrease in the number of contigs in 6 out of 7 samples and an increase in N(G)50 and N(G)75 of all 7 samples sequenced by both technologies. The approach also enhanced the detection of non-canonical contigs including a rearrangement between the unique (UL) and repeat (T/IRL) sequence regions of one sample that was not detectable by assembly of 454 reads alone. We detected several known and novel resistance-associated mutations in UL23 and UL30 genes. Genome-wide genetic variability ranged from <1% to 53% of amino acids in each gene exhibiting at least one substitution within the pool of samples. The UL23 gene had one of the highest genetic variabilities at 35.2% in keeping with its role in development of drug resistance. The assembly of accurate, full-length HHV-1 genomes will be useful in determining genetic determinants of drug resistance, virulence, pathogenesis and viral evolution. The numerous, complex repeat regions of the HHV-1 genome currently remain a barrier towards this goal.","oxford nanopore sequencing",2016
